SPOKE_ID	Node_Type	Node_ID	map_id	source	category	detail
DOID:529	Disease	ICD10CM:G24.5	G24.5	ICD10CM	G24	5
DOID:11669	Disease	ICD10CM:H02.86	H02.86	ICD10CM	H02	86
DOID:0111646	Disease	ICD10CM:E73.0	E73.0	ICD10CM	E73	0
DOID:9423	Disease	ICD10CM:H01.0	H01.0	ICD10CM	H01	0
DOID:2580	Disease	ICD10CM:E71.540	E71.540	ICD10CM	E71	540
DOID:10398	Disease	ICD10CM:A20.2	A20.2	ICD10CM	A20	2
DOID:11385	Disease	ICD10CM:F80.1	F80.1	ICD10CM	F80	1
DOID:11396	Disease	ICD10CM:J81	J81	ICD10CM	J81	
DOID:10175	Disease	ICD10CM:H46.0	H46.0	ICD10CM	H46	0
DOID:2340	Disease	ICD10CM:Q75.0	Q75.0	ICD10CM	Q75	0
DOID:10793	Disease	ICD10CM:J32.3	J32.3	ICD10CM	J32	3
DOID:11727	Disease	ICD10CM:G71.02	G71.02	ICD10CM	G71	02
DOID:3481	Disease	ICD10CM:A20.7	A20.7	ICD10CM	A20	7
DOID:11486	Disease	ICD10CM:G90.2	G90.2	ICD10CM	G90	2
DOID:2382	Disease	ICD10CM:P57	P57	ICD10CM	P57	
DOID:885	Disease	ICD10CM:B66.3	B66.3	ICD10CM	B66	3
DOID:11577	Disease	ICD10CM:G83.4	G83.4	ICD10CM	G83	4
DOID:1134	Disease	ICD10CM:K06.0	K06.0	ICD10CM	K06	0
DOID:2297	Disease	ICD10CM:A27	A27	ICD10CM	A27	
DOID:10608	Disease	ICD10CM:K90.0	K90.0	ICD10CM	K90	0
DOID:0080365	Disease	ICD10CM:N85.0	N85.0	ICD10CM	N85	0
DOID:0060336	Disease	ICD10CM:E71.111	E71.111	ICD10CM	E71	111
DOID:0060182	Disease	ICD10CM:K52.83	K52.83	ICD10CM	K52	83
DOID:11829	Disease	ICD10CM:H44.2	H44.2	ICD10CM	H44	2
DOID:13919	Disease	ICD10CM:H52.21	H52.21	ICD10CM	H52	21
DOID:3052	Disease	ICD10CM:N15.0	N15.0	ICD10CM	N15	0
DOID:11267	Disease	ICD10CM:H18.44	H18.44	ICD10CM	H18	44
DOID:4184	Disease	ICD10CM:E20.1	E20.1	ICD10CM	E20	1
DOID:0050157	Disease	ICD10CM:J84.116	J84.116	ICD10CM	J84	116
DOID:13444	Disease	ICD10CM:A24.0	A24.0	ICD10CM	A24	0
DOID:12140	Disease	ICD10CM:B57	B57	ICD10CM	B57	
DOID:11990	Disease	ICD10CM:A21.0	A21.0	ICD10CM	A21	0
DOID:11195	Disease	ICD10CM:J06.0	J06.0	ICD10CM	J06	0
DOID:12336	Disease	ICD10CM:N46	N46	ICD10CM	N46	
DOID:12161	Disease	ICD10CM:H35.4	H35.4	ICD10CM	H35	4
DOID:285	Disease	ICD10CM:C91.4	C91.4	ICD10CM	C91	4
DOID:11055	Disease	ICD10CM:A28.0	A28.0	ICD10CM	A28	0
DOID:11963	Disease	ICD10CM:K20	K20	ICD10CM	K20	
DOID:10074	Disease	ICD10CM:B71.0	B71.0	ICD10CM	B71	0
DOID:14111	Disease	ICD10CM:K14.2	K14.2	ICD10CM	K14	2
DOID:633	Disease	ICD10CM:M60	M60	ICD10CM	M60	
DOID:9977	Disease	ICD10CM:F16.2	F16.2	ICD10CM	F16	2
DOID:0050476	Disease	ICD10CM:E78.71	E78.71	ICD10CM	E78	71
DOID:9840	Disease	ICD10CM:H50.0	H50.0	ICD10CM	H50	0
DOID:10126	Disease	ICD10CM:H18.6	H18.6	ICD10CM	H18	6
DOID:12124	Disease	ICD10CM:H15.11	H15.11	ICD10CM	H15	11
DOID:4223	Disease	ICD10CM:L08.0	L08.0	ICD10CM	L08	0
DOID:687	Disease	ICD10CM:C22.2	C22.2	ICD10CM	C22	2
DOID:10457	Disease	ICD10CM:A48.1	A48.1	ICD10CM	A48	1
DOID:1270	Disease	ICD10CM:I78.0	I78.0	ICD10CM	I78	0
DOID:14227	Disease	ICD10CM:N46.0	N46.0	ICD10CM	N46	0
DOID:10375	Disease	ICD10CM:H53.03	H53.03	ICD10CM	H53	03
DOID:0060183	Disease	ICD10CM:K52.831	K52.831	ICD10CM	K52	831
DOID:6498	Disease	ICD10CM:L82	L82	ICD10CM	L82	
DOID:11823	Disease	ICD10CM:K76.7	K76.7	ICD10CM	K76	7
DOID:10908	Disease	ICD10CM:G91	G91	ICD10CM	G91	
DOID:10371	Disease	ICD10CM:A66	A66	ICD10CM	A66	
DOID:0050458	Disease	ICD10CM:C93.3	C93.3	ICD10CM	C93	3
DOID:1869	Disease	ICD10CM:I09.2	I09.2	ICD10CM	I09	2
DOID:8442	Disease	ICD10CM:K56.0	K56.0	ICD10CM	K56	0
DOID:758	Disease	ICD10CM:Q89.3	Q89.3	ICD10CM	Q89	3
DOID:986	Disease	ICD10CM:L63	L63	ICD10CM	L63	
DOID:0060344	Disease	ICD10CM:L90.4	L90.4	ICD10CM	L90	4
DOID:0080745	Disease	ICD10CM:M33.2	M33.2	ICD10CM	M33	2
DOID:0080947	Disease	ICD10CM:G04.82	G04.82	ICD10CM	G04	82
DOID:8619	Disease	ICD10CM:G47.13	G47.13	ICD10CM	G47	13
DOID:0080361	Disease	ICD10CM:E72.52	E72.52	ICD10CM	E72	52
DOID:13026	Disease	ICD10CM:B48.0	B48.0	ICD10CM	B48	0
DOID:624	Disease	ICD10CM:D80.7	D80.7	ICD10CM	D80	7
DOID:819	Disease	ICD10CM:J98.51	J98.51	ICD10CM	J98	51
DOID:12662	Disease	ICD10CM:B41	B41	ICD10CM	B41	
DOID:7188	Disease	ICD10CM:E06.3	E06.3	ICD10CM	E06	3
DOID:12402	Disease	ICD10CM:F63.1	F63.1	ICD10CM	F63	1
DOID:12700	Disease	ICD10CM:E22.1	E22.1	ICD10CM	E22	1
DOID:9810	Disease	ICD10CM:M30.0	M30.0	ICD10CM	M30	0
DOID:420	Disease	ICD10CM:L68	L68	ICD10CM	L68	
DOID:11830	Disease	ICD10CM:H52.1	H52.1	ICD10CM	H52	1
DOID:0060318	Disease	ICD10CM:C92.4	C92.4	ICD10CM	C92	4
DOID:13074	Disease	ICD10CM:B35.1	B35.1	ICD10CM	B35	1
DOID:13174	Disease	ICD10CM:H55.04	H55.04	ICD10CM	H55	04
DOID:2073	Disease	ICD10CM:P78.0	P78.0	ICD10CM	P78	0
DOID:10550	Disease	ICD10CM:H68.01	H68.01	ICD10CM	H68	01
DOID:0050468	Disease	ICD10CM:L60.5	L60.5	ICD10CM	L60	5
DOID:0050847	Disease	ICD10CM:G47.3	G47.3	ICD10CM	G47	3
DOID:13351	Disease	ICD10CM:F65.4	F65.4	ICD10CM	F65	4
DOID:12351	Disease	ICD10CM:K70.1	K70.1	ICD10CM	K70	1
DOID:2536	Disease	ICD10CM:G61.81	G61.81	ICD10CM	G61	81
DOID:13353	Disease	ICD10CM:H16.32	H16.32	ICD10CM	H16	32
DOID:8741	Disease	ICD10CM:L21	L21	ICD10CM	L21	
DOID:1025	Disease	ICD10CM:A30.1	A30.1	ICD10CM	A30	1
DOID:10762	Disease	ICD10CM:K76.6	K76.6	ICD10CM	K76	6
DOID:10939	Disease	ICD10CM:F60.2	F60.2	ICD10CM	F60	2
DOID:8913	Disease	ICD10CM:B35	B35	ICD10CM	B35	
DOID:11782	Disease	ICD10CM:H52.2	H52.2	ICD10CM	H52	2
DOID:11994	Disease	ICD10CM:N50.0	N50.0	ICD10CM	N50	0
DOID:11197	Disease	ICD10CM:H10.23	H10.23	ICD10CM	H10	23
DOID:1893	Disease	ICD10CM:H01.13	H01.13	ICD10CM	H01	13
DOID:10140	Disease	ICD10CM:H04.12	H04.12	ICD10CM	H04	12
DOID:8943	Disease	ICD10CM:H18.54	H18.54	ICD10CM	H18	54
DOID:12387	Disease	ICD10CM:N25.1	N25.1	ICD10CM	N25	1
DOID:1148	Disease	ICD10CM:Q69	Q69	ICD10CM	Q69	
DOID:0080775	Disease	ICD10CM:E34.51	E34.51	ICD10CM	E34	51
DOID:7166	Disease	ICD10CM:E06	E06	ICD10CM	E06	
DOID:9088	Disease	ICD10CM:L41	L41	ICD10CM	L41	
DOID:11781	Disease	ICD10CM:H52.22	H52.22	ICD10CM	H52	22
DOID:10607	Disease	ICD10CM:K90.1	K90.1	ICD10CM	K90	1
DOID:2917	Disease	ICD10CM:D89.1	D89.1	ICD10CM	D89	1
DOID:1436	Disease	ICD10CM:H18.71	H18.71	ICD10CM	H18	71
DOID:12522	Disease	ICD10CM:J67.1	J67.1	ICD10CM	J67	1
DOID:900	Disease	ICD10CM:K76.81	K76.81	ICD10CM	K76	81
DOID:10236	Disease	ICD10CM:F65.2	F65.2	ICD10CM	F65	2
DOID:607	Disease	ICD10CM:G82.2	G82.2	ICD10CM	G82	2
DOID:13035	Disease	ICD10CM:A68.0	A68.0	ICD10CM	A68	0
DOID:11156	Disease	ICD10CM:L74.4	L74.4	ICD10CM	L74	4
DOID:0050304	Disease	ICD10CM:H52.32	H52.32	ICD10CM	H52	32
DOID:0050587	Disease	ICD10CM:F63.3	F63.3	ICD10CM	F63	3
DOID:0060889	Disease	ICD10CM:Q79.4	Q79.4	ICD10CM	Q79	4
DOID:14701	Disease	ICD10CM:E71.121	E71.121	ICD10CM	E71	121
DOID:13589	Disease	ICD10CM:N97.2	N97.2	ICD10CM	N97	2
DOID:10322	Disease	ICD10CM:J63.2	J63.2	ICD10CM	J63	2
DOID:12400	Disease	ICD10CM:F63.2	F63.2	ICD10CM	F63	2
DOID:10591	Disease	ICD10CM:O14	O14	ICD10CM	O14	
DOID:12169	Disease	ICD10CM:G56.0	G56.0	ICD10CM	G56	0
DOID:2730	Disease	ICD10CM:Q81	Q81	ICD10CM	Q81	
DOID:1023	Disease	ICD10CM:A30.3	A30.3	ICD10CM	A30	3
DOID:3965	Disease	ICD10CM:C4A	C4A	ICD10CM	C4A	
DOID:2557	Disease	ICD10CM:M94.2	M94.2	ICD10CM	M94	2
DOID:8689	Disease	ICD10CM:F50.0	F50.0	ICD10CM	F50	0
DOID:216	Disease	ICD10CM:K02	K02	ICD10CM	K02	
DOID:446	Disease	ICD10CM:E26.0	E26.0	ICD10CM	E26	0
DOID:9462	Disease	ICD10CM:H60.4	H60.4	ICD10CM	H60	4
DOID:14443	Disease	ICD10CM:L50.5	L50.5	ICD10CM	L50	5
DOID:8956	Disease	ICD10CM:B08.010	B08.010	ICD10CM	B08	010
DOID:576	Disease	ICD10CM:R80	R80	ICD10CM	R80	
DOID:9402	Disease	ICD10CM:N45.1	N45.1	ICD10CM	N45	1
DOID:14225	Disease	ICD10CM:J01.1	J01.1	ICD10CM	J01	1
DOID:0050426	Disease	ICD10CM:L51.1	L51.1	ICD10CM	L51	1
DOID:11594	Disease	ICD10CM:H15.85	H15.85	ICD10CM	H15	85
DOID:11561	Disease	ICD10CM:H35.03	H35.03	ICD10CM	H35	03
DOID:4744	Disease	ICD10CM:O43.21	O43.21	ICD10CM	O43	21
DOID:9620	Disease	ICD10CM:N13.7	N13.7	ICD10CM	N13	7
DOID:1835	Disease	ICD10CM:G58.7	G58.7	ICD10CM	G58	7
DOID:11260	Disease	ICD10CM:A82	A82	ICD10CM	A82	
DOID:2769	Disease	ICD10CM:F95	F95	ICD10CM	F95	
DOID:11968	Disease	ICD10CM:N95.2	N95.2	ICD10CM	N95	2
DOID:13326	Disease	ICD10CM:H10.43	H10.43	ICD10CM	H10	43
DOID:9577	Disease	ICD10CM:P37.5	P37.5	ICD10CM	P37	5
DOID:14402	Disease	ICD10CM:G62.81	G62.81	ICD10CM	G62	81
DOID:8893	Disease	ICD10CM:L40	L40	ICD10CM	L40	
DOID:456	Disease	ICD10CM:B77	B77	ICD10CM	B77	
DOID:8454	Disease	ICD10CM:E53.0	E53.0	ICD10CM	E53	0
DOID:12996	Disease	ICD10CM:H04.32	H04.32	ICD10CM	H04	32
DOID:1932	Disease	ICD10CM:Q93.51	Q93.51	ICD10CM	Q93	51
DOID:12098	Disease	ICD10CM:G50.0	G50.0	ICD10CM	G50	0
DOID:12526	Disease	ICD10CM:G57.5	G57.5	ICD10CM	G57	5
DOID:13579	Disease	ICD10CM:E40	E40	ICD10CM	E40	
DOID:3312	Disease	ICD10CM:F31	F31	ICD10CM	F31	
DOID:4644	Disease	ICD10CM:Q81.0	Q81.0	ICD10CM	Q81	0
DOID:2745	Disease	ICD10CM:F60.81	F60.81	ICD10CM	F60	81
DOID:9060	Disease	ICD10CM:B36.0	B36.0	ICD10CM	B36	0
DOID:12386	Disease	ICD10CM:A07.0	A07.0	ICD10CM	A07	0
DOID:14749	Disease	ICD10CM:E71.120	E71.120	ICD10CM	E71	120
DOID:4500	Disease	ICD10CM:E87.6	E87.6	ICD10CM	E87	6
DOID:9296	Disease	ICD10CM:Q36	Q36	ICD10CM	Q36	
DOID:0112280	Disease	ICD10CM:Q77.7	Q77.7	ICD10CM	Q77	7
DOID:8970	Disease	ICD10CM:A81.1	A81.1	ICD10CM	A81	1
DOID:2565	Disease	ICD10CM:H18.55	H18.55	ICD10CM	H18	55
DOID:11656	Disease	ICD10CM:L12.1	L12.1	ICD10CM	L12	1
DOID:1460	Disease	ICD10CM:I75.81	I75.81	ICD10CM	I75	81
DOID:12358	Disease	ICD10CM:H69.0	H69.0	ICD10CM	H69	0
DOID:11189	Disease	ICD10CM:K04.2	K04.2	ICD10CM	K04	2
DOID:11199	Disease	ICD10CM:E20	E20	ICD10CM	E20	
DOID:8738	Disease	ICD10CM:N48.0	N48.0	ICD10CM	N48	0
DOID:12919	Disease	ICD10CM:B53.0	B53.0	ICD10CM	B53	0
DOID:11339	Disease	ICD10CM:B59	B59	ICD10CM	B59	
DOID:10892	Disease	ICD10CM:Q54	Q54	ICD10CM	Q54	
DOID:0050741	Disease	ICD10CM:F10.2	F10.2	ICD10CM	F10	2
DOID:13653	Disease	ICD10CM:H04.56	H04.56	ICD10CM	H04	56
DOID:0080043	Disease	ICD10CM:Q77.0	Q77.0	ICD10CM	Q77	0
DOID:0110214	Disease	ICD10CM:Q35.3	Q35.3	ICD10CM	Q35	3
DOID:10907	Disease	ICD10CM:Q02	Q02	ICD10CM	Q02	
DOID:8488	Disease	ICD10CM:O40	O40	ICD10CM	O40	
DOID:0060328	Disease	ICD10CM:K60.3	K60.3	ICD10CM	K60	3
DOID:1468	Disease	ICD10CM:H83.0	H83.0	ICD10CM	H83	0
DOID:2377	Disease	ICD10CM:G35	G35	ICD10CM	G35	
DOID:2712	Disease	ICD10CM:N47.1	N47.1	ICD10CM	N47	1
DOID:0080780	Disease	ICD10CM:C94.0	C94.0	ICD10CM	C94	0
DOID:0050156	Disease	ICD10CM:J84.112	J84.112	ICD10CM	J84	112
DOID:9254	Disease	ICD10CM:C94.3	C94.3	ICD10CM	C94	3
DOID:2988	Disease	ICD10CM:D68.61	D68.61	ICD10CM	D68	61
DOID:0050120	Disease	ICD10CM:D76.1	D76.1	ICD10CM	D76	1
DOID:289	Disease	ICD10CM:N80	N80	ICD10CM	N80	
DOID:2581	Disease	ICD10CM:Q77.3	Q77.3	ICD10CM	Q77	3
DOID:9910	Disease	ICD10CM:H16.01	H16.01	ICD10CM	H16	01
DOID:11431	Disease	ICD10CM:N80.4	N80.4	ICD10CM	N80	4
DOID:0050700	Disease	ICD10CM:I42	I42	ICD10CM	I42	
DOID:8857	Disease	ICD10CM:L93	L93	ICD10CM	L93	
DOID:1210	Disease	ICD10CM:H46	H46	ICD10CM	H46	
DOID:648	Disease	ICD10CM:A81.81	A81.81	ICD10CM	A81	81
DOID:0050645	Disease	ICD10CM:Q87.82	Q87.82	ICD10CM	Q87	82
DOID:11851	Disease	ICD10CM:A30.0	A30.0	ICD10CM	A30	0
DOID:12554	Disease	ICD10CM:D59.3	D59.3	ICD10CM	D59	3
DOID:10927	Disease	ICD10CM:K28	K28	ICD10CM	K28	
DOID:3323	Disease	ICD10CM:E75.01	E75.01	ICD10CM	E75	01
DOID:13918	Disease	ICD10CM:F45.0	F45.0	ICD10CM	F45	0
DOID:3827	Disease	ICD10CM:Q79.0	Q79.0	ICD10CM	Q79	0
DOID:9972	Disease	ICD10CM:E67.0	E67.0	ICD10CM	E67	0
DOID:12401	Disease	ICD10CM:F63.81	F63.81	ICD10CM	F63	81
DOID:10378	Disease	ICD10CM:H53.01	H53.01	ICD10CM	H53	01
DOID:0060320	Disease	ICD10CM:K40	K40	ICD10CM	K40	
DOID:12842	Disease	ICD10CM:G61.0	G61.0	ICD10CM	G61	0
DOID:11328	Disease	ICD10CM:F20.81	F20.81	ICD10CM	F20	81
DOID:0050801	Disease	ICD10CM:L64	L64	ICD10CM	L64	
DOID:543	Disease	ICD10CM:G24	G24	ICD10CM	G24	
DOID:12506	Disease	ICD10CM:G51.0	G51.0	ICD10CM	G51	0
DOID:11557	Disease	ICD10CM:H65.0	H65.0	ICD10CM	H65	0
DOID:10031	Disease	ICD10CM:J98.3	J98.3	ICD10CM	J98	3
DOID:13031	Disease	ICD10CM:N47.6	N47.6	ICD10CM	N47	6
DOID:1947	Disease	ICD10CM:A59	A59	ICD10CM	A59	
DOID:14392	Disease	ICD10CM:I82.1	I82.1	ICD10CM	I82	1
DOID:9255	Disease	ICD10CM:G31.0	G31.0	ICD10CM	G31	0
DOID:9682	Disease	ICD10CM:A95	A95	ICD10CM	A95	
DOID:1702	Disease	ICD10CM:Q80.0	Q80.0	ICD10CM	Q80	0
DOID:1999	Disease	ICD10CM:H68.02	H68.02	ICD10CM	H68	02
DOID:8867	Disease	ICD10CM:B08.1	B08.1	ICD10CM	B08	1
DOID:9076	Disease	ICD10CM:H01.12	H01.12	ICD10CM	H01	12
DOID:11190	Disease	ICD10CM:H10.22	H10.22	ICD10CM	H10	22
DOID:7426	Disease	ICD10CM:A22.0	A22.0	ICD10CM	A22	0
DOID:9396	Disease	ICD10CM:J04.0	J04.0	ICD10CM	J04	0
DOID:0060567	Disease	ICD10CM:L95.1	L95.1	ICD10CM	L95	1
DOID:9801	Disease	ICD10CM:A18.31	A18.31	ICD10CM	A18	31
DOID:9778	Disease	ICD10CM:K58	K58	ICD10CM	K58	
DOID:11629	Disease	ICD10CM:N81.84	N81.84	ICD10CM	N81	84
DOID:11330	Disease	ICD10CM:A46	A46	ICD10CM	A46	
DOID:11949	Disease	ICD10CM:A81.0	A81.0	ICD10CM	A81	0
DOID:1555	Disease	ICD10CM:L50	L50	ICD10CM	L50	
DOID:12668	Disease	ICD10CM:H53.31	H53.31	ICD10CM	H53	31
DOID:9307	Disease	ICD10CM:K62.3	K62.3	ICD10CM	K62	3
DOID:12206	Disease	ICD10CM:A91	A91	ICD10CM	A91	
DOID:2832	Disease	ICD10CM:B48.3	B48.3	ICD10CM	B48	3
DOID:11512	Disease	ICD10CM:I82.0	I82.0	ICD10CM	I82	0
DOID:12117	Disease	ICD10CM:J84.02	J84.02	ICD10CM	J84	02
DOID:0050697	Disease	ICD10CM:O41.12	O41.12	ICD10CM	O41	12
DOID:9181	Disease	ICD10CM:A06	A06	ICD10CM	A06	
DOID:2409	Disease	ICD10CM:B48.1	B48.1	ICD10CM	B48	1
DOID:7457	Disease	ICD10CM:B80	B80	ICD10CM	B80	
DOID:2048	Disease	ICD10CM:K75.4	K75.4	ICD10CM	K75	4
DOID:14181	Disease	ICD10CM:M65.2	M65.2	ICD10CM	M65	2
DOID:2518	Disease	ICD10CM:N45.2	N45.2	ICD10CM	N45	2
DOID:11563	Disease	ICD10CM:H35.06	H35.06	ICD10CM	H35	06
DOID:9155	Disease	ICD10CM:B55.2	B55.2	ICD10CM	B55	2
DOID:3319	Disease	ICD10CM:J84.81	J84.81	ICD10CM	J84	81
DOID:10323	Disease	ICD10CM:J66.0	J66.0	ICD10CM	J66	0
DOID:14717	Disease	ICD10CM:G71.22	G71.22	ICD10CM	G71	22
DOID:0060168	Disease	ICD10CM:E70.41	E70.41	ICD10CM	E70	41
DOID:1184	Disease	ICD10CM:N04	N04	ICD10CM	N04	
DOID:8936	Disease	ICD10CM:M72.2	M72.2	ICD10CM	M72	2
DOID:4730	Disease	ICD10CM:J30.0	J30.0	ICD10CM	J30	0
DOID:14199	Disease	ICD10CM:H27.13	H27.13	ICD10CM	H27	13
DOID:11776	Disease	ICD10CM:H44.51	H44.51	ICD10CM	H44	51
DOID:888	Disease	ICD10CM:B66.5	B66.5	ICD10CM	B66	5
DOID:2247	Disease	ICD10CM:M47	M47	ICD10CM	M47	
DOID:643	Disease	ICD10CM:A81.2	A81.2	ICD10CM	A81	2
DOID:11149	Disease	ICD10CM:H40.83	H40.83	ICD10CM	H40	83
DOID:14320	Disease	ICD10CM:F41.1	F41.1	ICD10CM	F41	1
DOID:13891	Disease	ICD10CM:J67.2	J67.2	ICD10CM	J67	2
DOID:2743	Disease	ICD10CM:N28.85	N28.85	ICD10CM	N28	85
DOID:10440	Disease	ICD10CM:H16.06	H16.06	ICD10CM	H16	06
DOID:9140	Disease	ICD10CM:H01.14	H01.14	ICD10CM	H01	14
DOID:9565	Disease	ICD10CM:Q24.0	Q24.0	ICD10CM	Q24	0
DOID:12849	Disease	ICD10CM:F84.0	F84.0	ICD10CM	F84	0
DOID:0050632	Disease	ICD10CM:E70.32	E70.32	ICD10CM	E70	32
DOID:11265	Disease	ICD10CM:A71	A71	ICD10CM	A71	
DOID:13025	Disease	ICD10CM:H35.1	H35.1	ICD10CM	H35	1
DOID:10211	Disease	ICD10CM:K80	K80	ICD10CM	K80	
DOID:8446	Disease	ICD10CM:K56.1	K56.1	ICD10CM	K56	1
DOID:0070111	Disease	ICD10CM:E75.240	E75.240	ICD10CM	E75	240
DOID:12958	Disease	ICD10CM:H02.23	H02.23	ICD10CM	H02	23
DOID:9563	Disease	ICD10CM:J47	J47	ICD10CM	J47	
DOID:14075	Disease	ICD10CM:G51.1	G51.1	ICD10CM	G51	1
DOID:853	Disease	ICD10CM:M35.3	M35.3	ICD10CM	M35	3
DOID:0080073	Disease	ICD10CM:Q76.0	Q76.0	ICD10CM	Q76	0
DOID:10932	Disease	ICD10CM:F60.5	F60.5	ICD10CM	F60	5
DOID:14692	Disease	ICD10CM:E78.72	E78.72	ICD10CM	E78	72
DOID:13533	Disease	ICD10CM:Q78.2	Q78.2	ICD10CM	Q78	2
DOID:1733	Disease	ICD10CM:A07.2	A07.2	ICD10CM	A07	2
DOID:1099	Disease	ICD10CM:D56.0	D56.0	ICD10CM	D56	0
DOID:3132	Disease	ICD10CM:E80.1	E80.1	ICD10CM	E80	1
DOID:3720	Disease	ICD10CM:C90.2	C90.2	ICD10CM	C90	2
DOID:2280	Disease	ICD10CM:L73.2	L73.2	ICD10CM	L73	2
DOID:12531	Disease	ICD10CM:D68.0	D68.0	ICD10CM	D68	0
DOID:8527	Disease	ICD10CM:C93	C93	ICD10CM	C93	
DOID:8986	Disease	ICD10CM:G47.41	G47.41	ICD10CM	G47	41
DOID:8632	Disease	ICD10CM:C46	C46	ICD10CM	C46	
DOID:2843	Disease	ICD10CM:I45.81	I45.81	ICD10CM	I45	81
DOID:7327	Disease	ICD10CM:M72.4	M72.4	ICD10CM	M72	4
DOID:12835	Disease	ICD10CM:G82.5	G82.5	ICD10CM	G82	5
DOID:0050116	Disease	ICD10CM:B35.5	B35.5	ICD10CM	B35	5
DOID:14022	Disease	ICD10CM:M89.0	M89.0	ICD10CM	M89	0
